Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
54.164.8.26-192.168.137.174-443-50634-6,54.164.8.26,443,192.168.137.174,50634,6,06/09/2023 02:00:42 PM,386988,25,42,6094.0,46123.0,1448.0,0.0,243.76,532.5666061630226,1448.0,0.0,1098.1666666666667,601.3797516470411,134931.83251160244,173.13198342067454,5863.454545454546,12964.70955880061,54880.0,0.0,237967.0,9915.291666666666,16803.136864182514,54880.0,0.0,258016.0,6293.073170731707,15286.410946311504,57787.0,0.0,0,0,0,0,808,1352,64.60148635099796,108.53049706967658,0.0,1448.0,767.8970588235296,708.9402252491356,502596.2429762951,2,2,0,9,66,0,0,0,1.0,779.3582089552239,243.76,1098.1666666666667,0,0,0,52217,41,149272,0,0,0,0,26847,342,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS ICMP Flood,1
13.225.193.148-192.168.137.174-443-39086-6,13.225.193.148,443,192.168.137.174,39086,6,06/09/2023 02:00:51 PM,18583,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,1291.5029866006566,161.43787332508208,9291.5,12689.031188392595,18264.0,319.0,18583.0,9291.5,12689.031188392595,18264.0,319.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,84,0,161.43787332508208,0.0,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,2,0,0,0,0.0,16.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,131,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS ICMP Flood,1
13.225.193.148-192.168.137.174-443-39086-6,13.225.193.148,443,192.168.137.174,39086,6,06/09/2023 02:00:51 PM,164448,1,3,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,13.856406460551018,145.94279042615292,24.323798404358826,54816.0,94944.09706769558,164448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,96,6.0809496010897055,18.24284880326912,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,3,0,0,0,3.0,6.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,385,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS ICMP Flood,1
34.173.20.6-192.168.137.174-443-47304-6,34.173.20.6,443,192.168.137.174,47304,6,06/09/2023 02:00:36 PM,59949896,8,3,63.0,0.0,39.0,0.0,7.875,15.122712341753664,0.0,0.0,0.0,0.0,1.0508775528151042,0.1834865568407324,5994989.600000001,7640250.207408935,14926518.0,1.0,59949896.0,8564270.857142858,7990911.809758079,15058521.0,1.0,30116910.0,15058455.0,369.1097397793778,15058716.0,15058194.0,0,0,0,0,256,96,0.1334447686114417,0.0500417882292906,0.0,39.0,5.249999999999999,12.67155009531911,160.56818181818178,1,0,1,2,11,0,0,0,0.0,5.727272727272728,7.875,0.0,0,0,0,0,0,0,2,15,0,0,331,339,2,32,131709.33333333334,586.4574437530257,132198.0,131059.0,14871682.75,108646.11819227596,14926518.0,14708716.0,DDoS ICMP Flood,1
192.168.137.174-34.173.20.6-47304-443-6,192.168.137.174,47304,34.173.20.6,443,6,06/09/2023 02:01:36 PM,1224,4,0,24.0,0.0,24.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,19607.843137254906,3267.97385620915,408.0,706.676729488102,1224.0,0.0,1224.0,408.0,706.676729488102,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0,3267.97385620915,0.0,0.0,24.0,4.8,10.73312629199899,115.2,0,0,1,1,4,0,0,0,0.0,6.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,339,0,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS ICMP Flood,1
54.210.230.246-192.168.137.210-443-36926-6,54.210.230.246,443,192.168.137.210,36926,6,06/09/2023 02:01:47 PM,3706979,15,11,3780.0,1427.0,1448.0,0.0,252.0,500.9776156961221,815.0,0.0,129.72727272727272,274.1259166547705,1404.6478277864535,7.013797488467024,148279.16,552403.0675001332,2781019.0,0.0,3706979.0,264784.21428571426,793215.5089332163,3000659.0,1.0,680104.0,68010.40000000001,143103.53206309528,470397.0,0.0,0,0,0,0,476,360,4.046421627961744,2.967375860505279,0.0,1448.0,192.8518518518518,411.3136276430679,169178.9002849003,1,2,1,11,24,0,0,0,0.0,200.2692307692308,252.0,129.72727272727272,0,0,0,5144,11,9411,15,3780,11,1427,26847,189,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS ICMP Flood,1
54.210.230.246-192.168.137.210-443-36926-6,54.210.230.246,443,192.168.137.210,36926,6,06/09/2023 02:01:51 PM,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS ICMP Flood,1
54.88.14.72-192.168.137.174-443-47388-6,54.88.14.72,443,192.168.137.174,47388,6,06/09/2023 02:01:55 PM,377590,25,43,6094.0,46187.0,1448.0,0.0,243.76,532.5666061630226,1448.0,0.0,1074.1162790697674,617.9054947505871,138459.7049710003,180.0895150824969,5635.671641791045,12371.224542397817,45149.0,0.0,225261.0,9385.875000000004,15590.429715784812,45149.0,0.0,247823.0,5900.547619047619,14075.513753483614,57225.0,0.0,0,0,0,0,808,1384,66.20938054503563,113.88013453746127,0.0,1448.0,757.6956521739132,710.4839962669156,504787.5089514066,2,2,0,9,67,0,0,0,1.0,768.8382352941177,243.76,1074.1162790697674,0,0,0,52281,42,154631,0,0,0,0,26847,342,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS ICMP Flood,1
54.210.230.246-192.168.137.210-443-36954-6,54.210.230.246,443,192.168.137.210,36954,6,06/09/2023 02:01:52 PM,3285304,13,9,633.0,1352.0,234.0,0.0,48.6923076923077,71.62446580997378,740.0,0.0,150.2222222222222,277.6791213693324,604.2058817083594,6.696488361503228,156443.04761904763,601716.3066624069,2776647.0,0.0,3285304.0,273775.3333333334,859012.9033401,3000081.0,1.0,344938.0,43117.25,60333.28898176481,184676.0,0.0,0,0,0,0,412,296,3.95701584997918,2.739472511524048,0.0,740.0,86.30434782608695,183.5279108777361,33682.49407114625,1,2,1,11,20,0,0,0,0.0,90.22727272727272,48.69230769230769,150.22222222222223,0,0,0,1922,9,7563,13,633,9,1352,26847,172,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS ICMP Flood,1
54.210.230.246-192.168.137.210-443-36954-6,54.210.230.246,443,192.168.137.210,36954,6,06/09/2023 02:01:56 PM,151868,1,4,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,6.0,12.0,158.03197513630258,32.92332815339637,37967.0,75040.01198916038,150523.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.0,448.33333333333337,776.5361120600465,1345.0,0.0,0,0,0,0,20,128,6.584665630679274,26.338662522717097,0.0,24.0,4.0,9.797958971132712,96.0,1,0,1,1,4,0,0,0,4.0,4.8,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,172,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS ICMP Flood,1
